category,amt,city,state,lat,long,city_pop,merch_lat,merch_long,age,transaction_hour,transaction_day_of_month,transaction_month,transaction_year,transaction_day_of_week,profession_group,fraud_category_merchant,is_fraud
home,15.0,Moriarty,New Mexico,34.9889,-106.0609,7268,35.191886,-105.832554,31,12,14,1,2019,0,Salud,2,0
misc_net,109.96,Burbank,Washington,46.1966,-118.9017,3684,45.563869,-118.076592,39,2,30,12,2020,2,Arte,2,0
entertainment,10.43,Eugene,Oregon,44.0385,-123.0614,191096,44.708545,-122.072096,55,3,15,1,2019,1,Ingeniería y Técnicos,2,0
shopping_pos,5.71,Redford,Missouri,37.3272,-91.0243,241,36.85701,-91.002408,46,19,27,12,2020,6,Other,0,0
grocery_net,39.7,Arnold,Missouri,38.4305,-90.387,35439,38.952935,-90.990324,35,5,27,12,2020,6,Other,4,0
shopping_net,1.43,Norwalk,California,33.9056,-118.0818,105549,34.351833,-117.744959,46,16,11,1,2019,4,Other,4,0
kids_pets,15.83,Fields Landing,California,40.7268,-124.2174,276,40.207219,-124.512417,90,21,21,1,2019,0,Ingeniería y Técnicos,3,0
home,20.66,Parks,Arizona,35.2563,-111.95,759,36.19785,-112.374533,62,13,8,1,2019,1,Ingeniería y Técnicos,0,0
health_fitness,23.11,Sun City,California,33.7467,-117.1721,54287,34.645096,-117.275318,48,18,28,12,2020,0,Arte,2,0
health_fitness,34.24,Tomales,California,38.2427,-122.9145,337,38.845227,-122.571733,65,23,17,1,2019,3,Salud,2,0
misc_pos,1.63,Cardwell,Missouri,36.0434,-90.2907,1120,36.463862,-90.172187,63,6,25,12,2020,4,Ejecutivos,3,0
kids_pets,40.12,Kirk,Colorado,39.6171,-102.4776,207,38.922275,-102.005001,64,20,8,1,2019,1,Ingeniería y Técnicos,3,0
home,91.32,Orient,Washington,48.8878,-118.2105,149,49.499749,-118.743086,41,12,21,1,2019,0,Educación,3,0
grocery_pos,138.19,Sprague,Nebraska,40.6267,-96.7456,142,41.601072,-97.637482,53,10,28,12,2020,0,Other,4,0
shopping_net,3.72,Syracuse,Missouri,38.6547,-92.8929,628,39.498036,-92.303264,59,7,31,12,2020,3,Other,5,0
grocery_pos,100.66,Thompson,Utah,38.9999,-109.615,46,39.616097,-109.867525,33,7,31,12,2020,3,Other,5,0
shopping_pos,4.92,Ruidoso,New Mexico,33.3305,-105.6933,8874,33.061778,-105.965702,20,15,29,12,2020,1,Other,3,0
shopping_pos,6.06,Conway,Washington,48.34,-122.3456,85,47.39411,-121.680831,35,19,10,1,2019,3,Ejecutivos,4,0
gas_transport,72.69,San Diego,California,32.7185,-117.1593,1241364,33.430662,-117.707798,32,1,13,1,2019,6,Other,4,0
shopping_net,6.74,Glendale,California,34.1556,-118.2322,172817,35.087567,-119.18093,37,12,13,1,2019,6,Other,4,0
gas_transport,59.3,Mendon,Utah,41.71,-111.9817,2078,41.355119,-112.155572,57,3,25,12,2020,4,Ingeniería y Técnicos,2,0
personal_care,74.63,Meridian,Idaho,43.6498,-116.4306,84106,42.765263,-117.361249,49,15,28,12,2020,0,Other,2,0
shopping_net,2.71,Westerville,Nebraska,41.4193,-99.3844,73,41.378942,-100.069689,84,7,4,1,2019,4,Arte,5,0
grocery_net,33.61,Rock Springs,Wyoming,41.606,-109.23,27971,42.242207,-108.54805,36,8,27,12,2020,6,Salud,0,0
grocery_pos,101.06,Rocky Mount,Missouri,38.2911,-92.7059,1847,38.11601,-92.58342,31,1,13,1,2019,6,Other,4,0
personal_care,11.21,Paradise Valley,Arizona,33.5494,-111.9565,17047,33.060006,-112.813823,85,12,30,12,2020,2,Other,0,0
gas_transport,69.88,Smith River,California,41.9404,-124.1587,1930,42.652109,-123.670145,37,6,31,12,2020,3,Arte,3,0
gas_transport,83.3,Sutherland,Nebraska,41.1558,-101.136,1789,40.198602,-101.167449,38,3,26,12,2020,5,Other,4,0
food_dining,10.39,Laramie,Wyoming,41.4247,-105.4781,35371,41.839781,-106.353548,32,23,27,12,2020,6,Other,4,0
shopping_pos,4.28,Orient,Washington,48.8878,-118.2105,149,49.87108,-117.769277,41,23,20,1,2019,6,Educación,4,0
entertainment,28.86,Roseland,Nebraska,40.4591,-98.5551,463,40.916129,-98.872598,72,13,28,12,2020,0,Salud,3,0
grocery_pos,159.83,Sun City,California,33.7467,-117.1721,54287,34.312252,-116.600608,47,10,9,1,2019,2,Arte,4,0
shopping_net,8.3,Manley,Nebraska,40.9207,-96.168,206,40.926779,-96.460631,52,6,18,1,2019,4,Ejecutivos,4,0
grocery_pos,192.69,Daly City,California,37.6787,-122.478,107941,37.995735,-122.466042,29,6,28,12,2020,0,Other,5,0
misc_net,16.31,Grenada,California,41.6125,-122.5258,589,40.688789,-122.384084,74,7,17,1,2019,3,Other,5,0
shopping_net,18.25,Sacramento,California,38.6865,-121.3494,757530,38.62411,-122.135674,54,5,29,12,2020,1,Ingeniería y Técnicos,4,0
home,3.92,June Lake,California,37.7773,-119.0825,633,37.226628,-119.123214,93,15,30,12,2020,2,Ejecutivos,0,0
kids_pets,21.57,Honokaa,Hawaii,20.0827,-155.488,4878,20.110856,-156.101424,53,18,3,1,2019,3,Salud,3,0
entertainment,30.69,Newhall,California,34.3795,-118.523,34882,33.470876,-119.279518,49,12,31,12,2020,3,Other,3,0
home,145.08,Glendale,California,34.1556,-118.2322,172817,34.060722,-117.61876,38,22,27,12,2020,6,Other,0,0
personal_care,16.25,Wales,Alaska,64.7556,-165.6723,145,65.389987,-165.672907,80,14,1,1,2019,1,Administradores,3,0
food_dining,1.21,Manville,Wyoming,42.73,-104.7024,241,41.818193,-104.674822,40,16,28,12,2020,0,Salud,3,0
kids_pets,42.93,Oakland,California,37.7878,-122.1884,381459,37.3944,-121.23774,45,12,18,1,2019,4,Other,0,0
entertainment,104.14,Espanola,New Mexico,35.9866,-106.0654,18408,35.894943,-106.938845,47,18,7,1,2019,0,Ejecutivos,0,0
home,85.83,Meadville,Missouri,39.7795,-93.3014,964,39.682646,-94.042874,45,12,11,1,2019,4,Ejecutivos,0,0
shopping_net,488.23,Independence,Missouri,39.1412,-94.3515,123373,39.05708,-94.122345,27,21,13,1,2019,6,Ingeniería y Técnicos,5,0
shopping_net,92.62,Kissee Mills,Missouri,36.6704,-93.0377,1201,37.587238,-92.585726,39,11,17,1,2019,3,Ingeniería y Técnicos,5,0
